Wall time,Step,Value
1556335321.4886131,500,2.8179214000701904
1556335931.5667577,1000,2.01326584815979
1556336502.774947,1500,1.8525625467300415
1556337072.024008,2000,1.7571066617965698
1556337702.2021337,2500,1.6883635520935059
1556338266.4564645,3000,1.6349291801452637
1556338831.5315006,3500,1.5974375009536743
1556339395.4271,4000,1.5591599941253662
1556340021.1315186,4500,1.5324848890304565
1556340579.3272479,5000,1.5094444751739502
1556341142.925053,5500,1.4904084205627441
1556341702.3698363,6000,1.4722346067428589
1556342320.7140512,6500,1.4594792127609253
1556342881.0622373,7000,1.446863055229187
1556343440.2616465,7500,1.4322118759155273
1556344000.6612194,8000,1.4272284507751465
1556344620.290902,8500,1.4159741401672363
1556345182.2160077,9000,1.406065583229065
1556345744.6391912,9500,1.4008114337921143
1556346304.6977205,10000,1.3920283317565918
1556346925.0524905,10500,1.3431050777435303
1556347483.8955631,11000,1.3319404125213623
1556348043.1352453,11500,1.3263520002365112
1556348600.9547036,12000,1.3252774477005005
1556349218.3240707,12500,1.3217695951461792
1556349778.893737,13000,1.3172773122787476
1556350339.1599245,13500,1.3155529499053955
1556350900.4499955,14000,1.3161134719848633
1556351515.4232047,14500,1.3108501434326172
1556352072.4270847,15000,1.309342384338379
1556352629.4586256,15500,1.3080906867980957
1556353186.96874,16000,1.3024771213531494
1556353806.166616,16500,1.3042227029800415
1556354368.2799466,17000,1.302346110343933
1556354928.9979463,17500,1.3004565238952637
1556355489.0775,18000,1.2974433898925781
1556356102.742361,18500,1.2963818311691284
1556356660.3793905,19000,1.2937734127044678
1556357217.1983073,19500,1.2925331592559814
1556357774.9499874,20000,1.2915068864822388
1556358388.1009026,20500,1.2540464401245117
1556358940.4438205,21000,1.2444053888320923
1556359491.700859,21500,1.2370193004608154
1556360043.4534707,22000,1.2365041971206665
1556360658.6429095,22500,1.2344387769699097
1556361215.4931164,23000,1.2377705574035645
1556361771.8442628,23500,1.244806170463562
1556362327.8802898,24000,1.2362309694290161
1556362941.3166504,24500,1.2346359491348267
1556363498.0752268,25000,1.2332453727722168
1556364056.4233377,25500,1.2329055070877075
1556364613.05354,26000,1.2293016910552979
1556365224.6485124,26500,1.2270517349243164
1556365779.4229245,27000,1.2307003736495972
1556366332.737993,27500,1.2291520833969116
1556366886.3196619,28000,1.22940993309021
1556367498.4338439,28500,1.2259868383407593
1556368068.296685,29000,1.226789116859436
1556368620.9352908,29500,1.226907730102539
1556369173.3024518,30000,1.2248382568359375
1556369790.1422198,30500,1.2253913879394531
1556370343.4682841,31000,1.2271080017089844
1556370900.7528894,31500,1.2262358665466309
1556371456.6571193,32000,1.222821831703186
1556372064.2168207,32500,1.2245532274246216
1556372617.1289234,33000,1.2221674919128418
1556373167.2192042,33500,1.221532940864563
1556373718.9740498,34000,1.2214345932006836
1556374331.833704,34500,1.2222092151641846
1556374885.2895124,35000,1.2225393056869507
1556375439.3207314,35500,1.2217015027999878
