Wall time,Step,Value
1556335321.4886131,500,1.030591368675232
1556335931.5667577,1000,1.0600440502166748
1556336502.774947,1500,0.929745078086853
1556337072.024008,2000,1.1743558645248413
1556337702.2021337,2500,0.9286261796951294
1556338266.4564645,3000,0.9693803191184998
1556338831.5315006,3500,1.3622698783874512
1556339395.4271,4000,0.8526926040649414
1556340021.1315186,4500,0.8311182856559753
1556340579.3272479,5000,0.9044643640518188
1556341142.925053,5500,0.815863311290741
1556341702.3698363,6000,0.8780642747879028
1556342320.7140512,6500,0.8945240378379822
1556342881.0622373,7000,0.8597156405448914
1556343440.2616465,7500,0.8924674391746521
1556344000.6612194,8000,0.8840365409851074
1556344620.290902,8500,0.8511942625045776
1556345182.2160077,9000,0.8355632424354553
1556345744.6391912,9500,0.8147448301315308
1556346304.6977205,10000,0.9130535125732422
1556346925.0524905,10500,0.8206105828285217
1556347483.8955631,11000,0.8932438492774963
1556348043.1352453,11500,0.8749837279319763
1556348600.9547036,12000,0.944991946220398
1556349218.3240707,12500,0.8407601118087769
1556349778.893737,13000,0.9451873898506165
1556350339.1599245,13500,1.05463445186615
1556350900.4499955,14000,0.9754611849784851
1556351515.4232047,14500,0.9232593774795532
1556352072.4270847,15000,0.9002830386161804
1556352629.4586256,15500,0.942638099193573
1556353186.96874,16000,0.9623716473579407
1556353806.166616,16500,0.9788365364074707
1556354368.2799466,17000,1.0199836492538452
1556354928.9979463,17500,0.9992309808731079
1556355489.0775,18000,0.9184178113937378
1556356102.742361,18500,0.9908779263496399
1556356660.3793905,19000,0.9459329843521118
1556357217.1983073,19500,0.9307578802108765
1556357774.9499874,20000,0.9824090003967285
1556358388.1009026,20500,0.9703847765922546
1556358940.4438205,21000,1.009132981300354
1556359491.700859,21500,1.0291550159454346
1556360043.4534707,22000,1.0354149341583252
1556360658.6429095,22500,1.0474295616149902
1556361215.4931164,23000,1.0557570457458496
1556361771.8442628,23500,1.1398273706436157
1556362327.8802898,24000,1.1210386753082275
1556362941.3166504,24500,1.2325539588928223
1556363498.0752268,25000,1.3348233699798584
1556364056.4233377,25500,1.1684490442276
1556364613.05354,26000,1.210403323173523
1556365224.6485124,26500,1.1908384561538696
1556365779.4229245,27000,1.206785798072815
1556366332.737993,27500,1.1758453845977783
1556366886.3196619,28000,1.2133289575576782
1556367498.4338439,28500,1.2349879741668701
1556368068.296685,29000,1.3109465837478638
1556368620.9352908,29500,1.3199856281280518
1556369173.3024518,30000,1.3122963905334473
1556369790.1422198,30500,1.238481879234314
1556370343.4682841,31000,1.5849840641021729
1556370900.7528894,31500,1.2372568845748901
1556371456.6571193,32000,1.183721661567688
1556372064.2168207,32500,1.258926510810852
1556372617.1289234,33000,1.2275424003601074
1556373167.2192042,33500,1.2150195837020874
1556373718.9740498,34000,1.2653067111968994
1556374331.833704,34500,1.3073351383209229
1556374885.2895124,35000,1.3776158094406128
1556375439.3207314,35500,1.337578535079956
