Wall time,Step,Value
1556335321.4886131,500,0.1113128587603569
1556335931.5667577,1000,0.11598759889602661
1556336502.774947,1500,0.11830580979585648
1556337072.024008,2000,0.11997511237859726
1556337702.2021337,2500,0.1212092712521553
1556338266.4564645,3000,0.12214472889900208
1556338831.5315006,3500,0.12288893014192581
1556339395.4271,4000,0.12341140955686569
1556340021.1315186,4500,0.12378536909818649
1556340579.3272479,5000,0.12407446652650833
1556341142.925053,5500,0.12424316257238388
1556341702.3698363,6000,0.1243564635515213
1556342320.7140512,6500,0.12440598756074905
1556342881.0622373,7000,0.12440337985754013
1556343440.2616465,7500,0.12437089532613754
1556344000.6612194,8000,0.12431322038173676
1556344620.290902,8500,0.12426695227622986
1556345182.2160077,9000,0.12419336289167404
1556345744.6391912,9500,0.1241145208477974
1556346304.6977205,10000,0.12402652949094772
1556346925.0524905,10500,0.12276951968669891
1556347483.8955631,11000,0.12043443322181702
1556348043.1352453,11500,0.11836102604866028
1556348600.9547036,12000,0.11651988327503204
1556349218.3240707,12500,0.1148887425661087
1556349778.893737,13000,0.11342678964138031
1556350339.1599245,13500,0.11209848523139954
1556350900.4499955,14000,0.11090844869613647
1556351515.4232047,14500,0.10986322164535522
1556352072.4270847,15000,0.10893220454454422
1556352629.4586256,15500,0.10808702558279037
1556353186.96874,16000,0.10732658207416534
1556353806.166616,16500,0.10663732141256332
1556354368.2799466,17000,0.10604619234800339
1556354928.9979463,17500,0.10552320629358292
1556355489.0775,18000,0.10506486147642136
1556356102.742361,18500,0.10465014725923538
1556356660.3793905,19000,0.10427822917699814
1556357217.1983073,19500,0.10394834727048874
1556357774.9499874,20000,0.10364624112844467
1556358388.1009026,20500,0.10300729423761368
1556358940.4438205,21000,0.10198019444942474
1556359491.700859,21500,0.10100358724594116
1556360043.4534707,22000,0.10005789250135422
1556360658.6429095,22500,0.09916525334119797
1556361215.4931164,23000,0.09831440448760986
1556361771.8442628,23500,0.09761426597833633
1556362327.8802898,24000,0.09698212891817093
1556362941.3166504,24500,0.096333809196949
1556363498.0752268,25000,0.09571900218725204
1556364056.4233377,25500,0.0951344296336174
1556364613.05354,26000,0.09456850588321686
1556365224.6485124,26500,0.09403079748153687
1556365779.4229245,27000,0.09351397305727005
1556366332.737993,27500,0.09302955865859985
1556366886.3196619,28000,0.09256213158369064
1556367498.4338439,28500,0.09212260693311691
1556368068.296685,29000,0.09171104431152344
1556368620.9352908,29500,0.09131564199924469
1556369173.3024518,30000,0.09094611555337906
1556369790.1422198,30500,0.09058138728141785
1556370343.4682841,31000,0.09023725241422653
1556370900.7528894,31500,0.08991232514381409
1556371456.6571193,32000,0.0896085649728775
1556372064.2168207,32500,0.08931510895490646
1556372617.1289234,33000,0.08903539925813675
1556373167.2192042,33500,0.08877317607402802
1556373718.9740498,34000,0.08853066712617874
1556374331.833704,34500,0.08829795569181442
1556374885.2895124,35000,0.0880749374628067
1556375439.3207314,35500,0.08786094933748245
